Symbol,Name,Price,EPS Annual,EPS Latest,P/E,Exp P/E,Price to BV,ROE,ROA,Dividend Yield,Avg 52 Weeks Vol
ALTN,Altern Energy Ltd.,8.31,15.93,-0.34 6M,0.52,0.00,0.81,149.63,129.27,116.73 %,"1,249,472.51"
EPQL,Engro Powergen Qadirpur Ltd.,24.60,2.58,2.58 12M,9.53,9.53,0.68,7.19,5.31,47.76 %,"698,082.97"
UDPL,United Distributors Pakistan Ltd.,112.28,25.61,18.59 6M,4.38,3.02,5.81,52.89,34.53,30.73 %,"39,514.67"
PGLC,Pak Gulf  Leasing  Co. Ltd.,13.75,1.49,0.65 6M,9.23,10.58,0.82,9.31,5.09,28.73 %,"23,447.77"
KAPCO,Kot Addu Power Company Ltd.,26.68,2.88,0.94 6M,9.26,14.19,0.42,4.44,3.89,26.24 %,"1,249,788.05"
LPL,Lalpir Power Ltd.,18.17,1.22,-2.18 9M,14.89,0.00,0.49,3.13,3.08,22.01 %,"1,504,058.68"
LOTCHEM,Lotte Chemical (Pak) Ltd.,24.08,0.74,0.74 12M,32.54,32.54,1.55,4.75,2.34,20.76 %,"4,052,204.69"
NBP,National Bank Of Pakistan,168.56,40.38,40.38 12M,4.17,4.17,0.67,16.17,1.22,20.76 %,"8,643,863.95"
SPWL,Saif Power Ltd.,9.70,-0.10,-0.10 12M,0.00,0.00,0.36,-0.37,-0.22,18.04 %,"1,167,258.16"
GRR,Globe Residency Reit,19.71,3.85,2.93 6M,5.12,3.36,1.45,27.21,9.60,17.76 %,"225,497.94"
AGIC,Askari General Insurance Company. Ltd.,33.91,6.90,6.90 12M,4.91,4.91,0.79,16.17,5.94,14.74 %,"28,545.09"
PKGP,Pakgen Power Ltd.,47.76,12.01,-0.80 9M,3.98,0.00,0.70,16.81,16.35,14.66 %,"865,210.71"
DOL,Descon Oxychem Ltd.,27.76,4.51,1.23 6M,6.16,11.28,1.55,24.16,17.29,14.41 %,"1,031,719.80"
BATA,Bata Pakistan Ltd.,989.00,112.53,-47.10 9M,8.79,0.00,1.44,15.34,5.72,13.14 %,"3,467.93"
MTL,Millat Tractors Ltd. Consolidated,494.69,31.70,15.11 6M,15.61,16.37,10.67,68.16,18.13,12.13 %,"161,904.04"
ORM,Orient Rental Modaraba,9.99,2.85,0.68 6M,3.51,7.35,0.51,14.07,8.05,12.01 %,"223,331.09"
PAKT,Pakistan Tobacco Company Ltd.,"1,250.08",116.85,116.85 12M,10.70,10.70,6.80,63.57,31.12,12.00 %,"52,350.32"
POL,Pakistan Oilfields Ltd.,626.82,85.19,41.29 6M,7.36,7.59,2.29,30.19,13.66,11.97 %,"339,759.68"
CYAN,Cyan Ltd.,41.91,9.06,8.25 9M,4.63,3.81,1.12,28.33,24.96,11.93 %,"211,857.95"
AHL,Arif Habib Ltd.,85.12,14.99,7.97 6M,5.68,5.34,3.10,50.85,13.64,11.75 %,"107,746.28"
PAKRI,Pakistan Reinsurance Co. Ltd.,17.13,4.20,2.03 9M,4.08,6.33,0.61,16.50,5.47,11.68 %,"1,691,945.17"
OLPL,OLP Financial Services Pakistan(Formerly ORIX Leas,47.50,6.99,3.69 6M,6.80,6.44,0.76,11.25,3.46,11.58 %,"43,484.65"
NCPL,Nishat Chunian Power Ltd.,60.75,-9.19,2.45 6M,0.00,12.40,0.92,-14.53,-13.87,11.52 %,"4,962,331.20"
ATIL,Atlas Insurance Ltd.,74.16,12.64,13.90 12M,5.87,5.34,1.01,23.13,9.69,11.46 %,"63,712.60"
OLPM,OLP Modaraba(Formerly ORIX Modaraba,21.99,3.84,1.66 6M,5.73,6.62,0.77,13.12,1.96,11.37 %,"50,419.13"
HMB,Habib Metropolitan Bank Ltd.,106.72,21.55,21.55 12M,4.95,4.95,0.87,17.67,1.36,11.24 %,"603,818.60"
BIPL,Bankislami Pakistan,24.47,5.41,5.41 12M,4.52,4.52,0.56,12.35,0.78,11.24 %,"2,359,063.88"
EFUL,EFU Life Assurance Ltd.,142.10,28.48,23.26 12M,4.99,6.11,1.47,32.54,1.15,10.56 %,"7,461.90"
SCBPL,Standard Chartered Bank Pakistan Ltd.,61.99,7.43,7.43 12M,8.34,8.34,2.17,26.05,3.30,10.49 %,"61,501.04"
ATBA,Atlas Battery Ltd.,193.17,38.37,1.50 6M,5.03,64.39,0.85,15.77,0.72,10.35 %,"36,008.06"
CENI,Century Insurance Company Ltd.,59.09,9.93,9.93 12M,5.95,5.95,0.95,15.92,7.87,10.15 %,"5,951.54"
MCB,MCB Bank Ltd.,366.35,45.73,45.73 12M,8.01,8.01,1.38,17.16,1.67,9.83 %,"681,732.38"
BAHL,Bank AL-Habib Ltd.,152.83,27.57,27.57 12M,5.54,5.54,0.99,17.89,0.93,9.81 %,"577,156.57"
INDU,Indus Motor Company Ltd.,"1,800.30",292.74,161.60 6M,6.15,5.57,1.73,29.90,12.45,9.78 %,"20,746.39"
BAFL,Bank Alfalah Ltd.,107.90,17.97,17.97 12M,6.00,6.00,0.86,14.35,0.74,9.73 %,"3,126,110.78"
IMAGE,Image Pakistan Ltd.,20.71,2.22,1.32 6M,9.33,7.84,1.23,13.46,7.97,9.66 %,"3,198,841.41"
MRNS,Mehran Sugar Mills Ltd.,58.44,29.02,2.63 3M,2.01,5.56,0.88,45.60,29.35,9.41 %,"48,934.93"
ABL,Allied Bank Ltd.,170.67,30.72,30.72 12M,5.56,5.56,0.74,13.36,1.04,9.37 %,"177,272.27"
HICL,Habib Insurance Co. Ltd.,11.00,1.91,0.95 12M,5.76,11.58,0.55,11.52,3.65,9.09 %,"485,699.24"
NPL,Nishat Power Ltd.,66.66,-2.11,2.73 6M,0.00,12.21,0.82,-2.67,-2.56,9.00 %,"3,470,487.49"
