Symbol,Div yield % (indicated),Price,Change %,Volume,Rel Volume,Market cap,P/E,EPS dil TTM,EPS dil growth TTM YoY,Div yield % TTM,Sector,Analyst Rating
ALTN Altern Energy Limited D,187.73%,8.02 PKR,−3.49%,292.73 K,1.98,3.02 B PKR,—,−0.45 PKR,+94.22%,205.78%,Utilities,No rating
EPQL Engro Powergen Qadirpur Ltd D,47.80%,24.08 PKR,−2.11%,456.92 K,1.09,7.96 B PKR,9.32,2.58 PKR,−60.94%,42.72%,Utilities,No rating
PGLC Pak-Gulf Leasing Co. Ltd. D,28.73%,12.81 PKR,−6.84%,2.98 K,0.27,—,—,—,—,—,Finance,No rating
LOTCHEM Lotte Chemical Pakistan Ltd. D,20.76%,23.72 PKR,−1.50%,1.75 M,0.57,36.46 B PKR,32.05,0.74 PKR,−57.60%,20.76%,Process industries,No rating
NBP National Bank of Pakistan D,20.76%,157.25 PKR,−6.71%,13.61 M,1.55,358.61 B PKR,3.93,39.97 PKR,+227.23%,4.75%,Finance,Strong buy
SIBL Security Investment Bank Limited D,19.33%,7.76 PKR,0.00%,44,0.01,—,—,—,—,—,Finance,No rating
SPWL Saif Power Ltd D,18.04%,9.63 PKR,−0.72%,295.8 K,0.92,3.75 B PKR,—,−0.10 PKR,−118.54%,10.31%,Utilities,No rating
GRR Globe Residency REIT D,17.76%,19.49 PKR,−1.12%,50.2 K,1.12,2.76 B PKR,3.51,5.55 PKR,+226.17%,17.76%,Finance,No rating
UDPL United Distributors Pakistan Limited. D,17.37%,108.38 PKR,−3.47%,14.46 K,2.01,—,—,—,—,—,Process industries,No rating
KAPCO Kot Addu Power Co. Ltd. D,14.99%,25.09 PKR,−5.96%,2.22 M,3.68,23.49 B PKR,15.64,1.60 PKR,−63.02%,26.24%,Utilities,No rating
AGIC Askari General Insurance Co. Ltd. D,14.74%,33.75 PKR,−0.47%,19.9 K,0.40,—,—,—,—,—,Finance,No rating
PKGP Pakgen Power Limited D,14.66%,45.75 PKR,−4.21%,1.92 K,0.06,17.77 B PKR,—,−5.42 PKR,−128.90%,14.66%,Utilities,No rating
DOL Descon Oxychem Limited D,14.41%,26.99 PKR,−2.77%,178.3 K,1.53,4.86 B PKR,7.40,3.65 PKR,−13.34%,14.41%,Process industries,No rating
POL Pakistan Oilfields Limited D,12.36%,620.10 PKR,−1.07%,200.63 K,0.75,177.93 B PKR,7.02,88.29 PKR,−16.59%,11.97%,Energy minerals,Strong buy
ORM Orient Rental Modaraba D,12.01%,10.12 PKR,+1.30%,513.7 K,8.16,—,—,—,—,—,Finance,No rating
MRNS Mehran Sugar Mills Limited D,11.98%,57.01 PKR,−2.45%,8.6 K,1.00,4.38 B PKR,1.99,28.62 PKR,—,11.98%,Process industries,No rating
